"Card number","Name","Rarity","Category","Print","Quantity"
"SGX2-ENB21","Steam Gyroid","Common","Fusion Monster","Speed Duel debut",1
"SGX2-ENB22","Super Vehicroid Jumbo Drill","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX2-ENB23","Ambulance Rescueroid","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX2-ENB24","Super Vehicroid - Stealth Union","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX2-ENC01","Water Dragon","Common","Effect Monster","Speed Duel debut",1
"SGX2-ENC02","Hyozanryu","Common","Normal Monster","Speed Duel debut",1
"SGX2-ENC03","Hydrogeddon","Common","Effect Monster","Reprint",2
"SGX2-ENC04","Oxygeddon","Common","Effect Monster","Speed Duel debut",1
"SGX2-ENC05","Jurrac Protops","Common","Effect Monster","Speed Duel debut",1
"SGX2-ENC06","Jurrac Iguanon","Common","Effect Monster","Speed Duel debut",1
"SGX2-ENC07","Carboneddon","Common","Effect Monster","Speed Duel debut",1
"SGX2-ENC08","Dogoran, the Mad Flame Kaiju","Common","Effect Monster","Speed Duel debut",1
"SGX2-ENC09","Water Dragon Cluster","Common","Effect Monster","Speed Duel debut",1
"SGX2-ENC10","Duoterion","Common","Effect Monster","Speed Duel debut",2
"SGX2-ENC11","Riryoku","Common","Normal Spell","Reprint",1
"SGX2-ENC12","Scroll of Bewitchment","Common","Equip Spell","Speed Duel debut",1
"SGX2-ENC13","A Legendary Ocean","Common","Field Spell","Speed Duel debut",1
"SGX2-ENC14","Bonding - H2O","Common","Normal Spell","Speed Duel debut",1
"SGX2-ENC15","Bonding - D2O","Common","Normal Spell","Speed Duel debut",1
"SGX2-ENC16","Living Fossil","Common","Equip Spell","Speed Duel debut",1
"SGX2-ENC17","Cursed Seal of the Forbidden Spell","Common","Counter Trap","Speed Duel debut",1
"SGX2-ENC18","Bonding - DHO","Common","Normal Trap","Speed Duel debut",1
"SGX2-END01","Gate Guardian","Common","Effect Monster","Speed Duel debut",1
"SGX2-END02","Labyrinth Wall","Common","Normal Monster","Speed Duel debut",1
"SGX2-END03","Crass Clown","Common","Effect Monster","Speed Duel debut",1
"SGX2-END04","Dream Clown","Common","Effect Monster","Speed Duel debut",1
"SGX2-END05","Jirai Gumo","Common","Effect Monster","Speed Duel debut",1
"SGX2-END06","Shadow Ghoul","Common","Effect Monster","Speed Duel debut",1
"SGX2-END07","Sanga of the Thunder","Common","Effect Monster","Speed Duel debut",1
"SGX2-END08","Kazejin","Common","Effect Monster","Speed Duel debut",1
"SGX2-END09","Suijin","Common","Effect Monster","Speed Duel debut",1
"SGX2-END10","Stone Statue of the Aztecs","Common","Effect Monster","Speed Duel debut",1
"SGX2-END11","Ryu-Kishin Clown","Common","Effect Monster","Speed Duel debut",1
"SGX2-END12","Kaiser Sea Horse","Common","Effect Monster","Speed Duel debut",1
"SGX2-END13","Unshaven Angler","Common","Effect Monster","Speed Duel debut",1
"SGX2-END14","Whirlwind Prodigy","Common","Effect Monster","Speed Duel debut",1
"SGX2-END15","Soul Exchange","Common","Normal Spell","Reprint",1
"SGX2-END16","Fairy Meteor Crush","Common","Equip Spell","Speed Duel debut",1
"SGX2-END17","Tribute Doll","Common","Normal Spell","Reprint",1
"SGX2-END18","Double Summon","Common","Normal Spell","Speed Duel debut",1
"SGX2-END19","Judgment of Anubis","Common","Counter Trap","Reprint",1
"SGX2-END20","Labyrinth of Nightmare","Common","Continuous Trap","Speed Duel debut",1
"SGX2-ENE01","Des Koala","Common","Flip monster","Speed Duel debut",1
"SGX2-ENE02","White Magician Pikeru","Common","Effect Monster","Speed Duel debut",1
"SGX2-ENE03","Des Wombat","Common","Effect Monster","Speed Duel debut",1
"SGX2-ENE04","Frost and Flame Dragon","Common","Effect Monster","Speed Duel debut",1
"SGX2-ENE05","Sea Koala","Common","Effect Monster","Speed Duel debut",1
"SGX2-ENE06","Loud Cloud the Storm Serpent","Common","Effect Monster","Speed Duel debut",1
"SGX2-ENE07","Fifth Hope","Common","Normal Spell","Speed Duel debut",1
"SGX2-ENE08","Disposable Learner Device","Common","Equip Spell","Speed Duel debut",1
"SGX2-ENE09","Pikeru's Circle of Enchantment","Common","Normal Trap","Speed Duel debut",1
"SGX2-ENE10","UFOroid Fighter","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX2-ENE11","Elemental HERO Necroid Shaman","Common","Effect Fusion Monster","Speed Duel debut",1
