"Card number","Name","Rarity","Category","Print"
"MP22-EN050","Greater Polymerization","Prismatic Secret Rare","Normal Spell","Reprint"
"MP22-EN051","Reinforcement of the Army's Troops","Ultra Rare","Continuous Spell","Reprint"
"MP22-EN052","Psychic Eraser Laser","Common","Normal Spell","Reprint"
"MP22-EN053","Synchro Transmission","Rare","Normal Trap","Reprint"
"MP22-EN054","War Rock Skyler","Ultra Rare","Effect Monster","Reprint"
"MP22-EN055","Virtual World Oto-Hime - Toutou","Rare","Effect Monster","Reprint"
"MP22-EN056","Diviner of the Herald","Prismatic Secret Rare","Effect Tuner monster","Reprint"
"MP22-EN057","ZW - Pegasus Twin Saber","Super Rare","Effect Monster","Reprint"
"MP22-EN058","ZS - Armed Sage","Super Rare","Effect Monster","Reprint"
"MP22-EN059","ZS - Ascended Sage","Prismatic Secret Rare","Effect Monster","Reprint"
"MP22-EN060","Roxrose Dragon","Prismatic Secret Rare","Effect Tuner monster","Reprint"
"MP22-EN061","Ruddy Rose Witch","Rare","Effect Tuner monster","Reprint"
"MP22-EN062","Danmari @Ignister","Super Rare","Effect Monster","Reprint"
"MP22-EN063","Traptrix Vesiculo","Super Rare","Effect Monster","Reprint"
"MP22-EN064","Live?Twin Ki-sikil Frost","Super Rare","Effect Monster","Reprint"
"MP22-EN065","Blackeyes, the Plunder Patroll Seaguide","Common","Effect Monster","Reprint"
"MP22-EN066","Judge of the Ice Barrier","Rare","Effect Monster","Reprint"
"MP22-EN067","Scrap Raptor","Ultra Rare","Effect Tuner monster","Reprint"
"MP22-EN068","Dark Honest","Ultra Rare","Effect Monster","Reprint"
"MP22-EN069","Bahalutiya, the Grand Radiance","Rare","Effect Monster","Reprint"
"MP22-EN070","Pharaonic Guardian Sphinx","Ultra Rare","Effect Monster","Reprint"
"MP22-EN071","Anchamoufrite","Common","Effect Pendulum Monster","Reprint"
"MP22-EN072","Dark Eye Nightmare","Ultra Rare","Effect Monster","Reprint"
"MP22-EN073","Yamorimori","Common","Effect Monster","Reprint"
"MP22-EN074","Otoshidamashi","Ultra Rare","Effect Tuner monster","Reprint"
"MP22-EN075","White Knight of Dogmatika","Super Rare","Effect Ritual Monster","Reprint"
"MP22-EN076","Albion the Branded Dragon","Prismatic Secret Rare","Effect Fusion Monster","Reprint"
"MP22-EN077","Ruddy Rose Dragon","Prismatic Secret Rare","Effect Synchro Monster","Reprint"
"MP22-EN078","Garden Rose Flora","Rare","Effect Tuner Synchro Monster","Reprint"
"MP22-EN079","Lavalval Exlord","Rare","Effect Synchro Monster","Reprint"
"MP22-EN080","Star Mine","Common","Effect Synchro Monster","Reprint"
"MP22-EN081","Ultimate Dragonic Utopia Ray","Rare","Effect Xyz Monster","Reprint"
"MP22-EN082","ZW - Dragonic Halberd","Rare","Effect Xyz Monster","Reprint"
"MP22-EN083","Rilliona, the Wondrous Magistus Witch Wardrobe","Rare","Effect Xyz Monster","Reprint"
"MP22-EN084","Drytron Mu Beta Fafnir","Prismatic Secret Rare","Effect Xyz Monster","Reprint"
"MP22-EN085","Tri-Brigade Bearbrumm the Rampant Rampager","Ultra Rare","Effect Link Monster","Reprint"
"MP22-EN086","Dark Infant @Ignister","Ultra Rare","Effect Link Monster","Reprint"
"MP22-EN087","Traptrix Cularia","Super Rare","Effect Link Monster","Reprint"
"MP22-EN088","Paleozoic Cambroraster","Super Rare","Effect Link Monster","Reprint"
"MP22-EN089","Lyna the Light Charmer, Lustrous","Ultra Rare","Effect Link Monster","Reprint"
"MP22-EN090","Rank-Up-Magic Zexal Force","Rare","Normal Spell","Reprint"
"MP22-EN091","Zexal Construction","Ultra Rare","Normal Spell","Reprint"
"MP22-EN092","Zexal Entrust","Common","Normal Spell","Reprint"
"MP22-EN093","Branded in White","Common","Normal Spell","Reprint"
"MP22-EN094","Basal Rose Shoot","Common","Quick-Play Spell","Reprint"
"MP22-EN095","A.I. Meet You","Ultra Rare","Normal Spell","Reprint"
"MP22-EN096","You and A.I.","Common","Continuous Spell","Reprint"
"MP22-EN097","Bujincandescence","Common","Continuous Spell","Reprint"
"MP22-EN098","Birth of the Prominence Flame","Rare","Normal Spell","Reprint"
"MP22-EN099","Book of Lunar Eclipse","Super Rare","Quick-Play Spell","Reprint"
"MP22-EN100","One-Kuri-Way","Common","Normal Spell","Reprint"
"MP22-EN101","Hidden Springs of the Far East","Common","Field Spell","Reprint"
"MP22-EN102","Zexal Alliance","Common","Normal Trap","Reprint"
"MP22-EN103","Screams of the Branded","Super Rare","Normal Trap","Reprint"
"MP22-EN104","Judgment of the Branded","Common","Normal Trap","Reprint"
"MP22-EN105","Proof of Pruflas","Rare","Effect Monster","Reprint"
"MP22-EN106","Thron the Disciplined Angel","Rare","Effect Monster","Reprint"
"MP22-EN107","Pendransaction","Rare","Effect Xyz Monster","Reprint"
"MP22-EN108","Expendable Dai","Common","Normal Trap","Reprint"
"MP22-EN109","Terrors of the Underroot","Common","Normal Trap","Reprint"
"MP22-EN110","Eda the Sun Magician","Common","Effect Monster","Reprint"
"MP22-EN111","Staysailor Romarin","Common","Effect Tuner monster","Reprint"
"MP22-EN112","D/D/D Supersight King Zero Maxwell","Ultra Rare","Effect Pendulum Monster","Reprint"
"MP22-EN113","Binary Blader","Super Rare","Effect Link Monster","Reprint"
"MP22-EN114","Sunavalon Daphne","Super Rare","Effect Link Monster","Reprint"
"MP22-EN115","Sunavalon Melias","Common","Effect Link Monster","Reprint"
"MP22-EN116","Sunvine Cross Breed","Super Rare","Continuous Spell","Reprint"
"MP22-EN117","Beetrooper Scout Buggy","Rare","Effect Monster","Reprint"
"MP22-EN118","Converging Wills Dragon","Common","Effect Tuner monster","Reprint"
"MP22-EN119","Stardust Synchron","Ultra Rare","Effect Tuner monster","Reprint"
"MP22-EN120","Stardust Trail","Ultra Rare","Effect Monster","Reprint"
"MP22-EN121","Despian Comedy","Common","Effect Monster","Reprint"
"MP22-EN122","Despian Tragedy","Common","Effect Monster","Reprint"
"MP22-EN123","Aluber the Jester of Despia","Prismatic Secret Rare","Effect Monster","Reprint"
"MP22-EN124","Dramaturge of Despia","Prismatic Secret Rare","Effect Monster","Reprint"
"MP22-EN125","Albion the Shrouded Dragon","Common","Effect Monster","Reprint"
"MP22-EN126","Clavkiys, the Magikey Skyblaster","Rare","Normal Monster","Reprint"
"MP22-EN127","Gunkan Suship Shari","Super Rare","Normal Monster","Reprint"
"MP22-EN128","Gunkan Suship Ikura","Common","Effect Monster","Reprint"
"MP22-EN129","Chronomaly Magella Globe","Common","Effect Monster","Reprint"
"MP22-EN130","Gizmek Inaba, the Hopping Hare of Hakuto","Common","Effect Monster","Reprint"
"MP22-EN131","Gizmek Naganaki, the Sunrise Signaler","Common","Effect Monster","Reprint"
"MP22-EN132","Gizmek Taniguku, the Immobile Intellect","Common","Effect Monster","Reprint"
"MP22-EN133","Gizmek Arakami, the Hailbringer Hog","Common","Effect Monster","Reprint"
"MP22-EN134","Carpiponica, Mystical Beast of the Forest","Common","Effect Monster","Reprint"
"MP22-EN135","Glacier Aqua Madoor","Rare","Effect Monster","Reprint"
"MP22-EN136","Master's Diploman","Common","Effect Monster","Reprint"
"MP22-EN137","Slower Swallow","Super Rare","Effect Monster","Reprint"
"MP22-EN138","Aeropixthree","Common","Effect Tuner monster","Reprint"
"MP22-EN139","Magikey Mechmusket - Batosbuster","Common","Effect Tuner Ritual Monster","Reprint"
"MP22-EN140","Magikey Mechmortar - Garesglasser","Common","Effect Ritual Monster","Reprint"
"MP22-EN141","Despian Quaeritis","Prismatic Secret Rare","Effect Fusion Monster","Reprint"
"MP22-EN142","Despian Proskenion","Common","Effect Fusion Monster","Reprint"
"MP22-EN143","Magikey Beast - Ansyalabolas","Common","Effect Tuner Fusion Monster","Reprint"
"MP22-EN144","Magikey Dragon - Andrabime","Common","Effect Fusion Monster","Reprint"
"MP22-EN145","Allvain the Essence of Vanity","Ultra Rare","Tuner Fusion Monster","Reprint"
"MP22-EN146","Stellar Wind Wolfrayet","Common","Effect Synchro Monster","Reprint"
"MP22-EN147","Gaiarmor Dragonshell","Ultra Rare","Effect Synchro Monster","Reprint"
"MP22-EN148","Gunkan Suship Ikura-class Dreadnought","Common","Effect Xyz Monster","Reprint"
"MP22-EN149","Chronomaly Vimana","Rare","Effect Xyz Monster","Reprint"
"MP22-EN150","Voloferniges, the Darkest Dragon Doomrider","Rare","Effect Xyz Monster","Reprint"
"MP22-EN151","Dragonlark Pairen","Ultra Rare","Effect Xyz Monster","Reprint"
"MP22-EN152","Stardust Illumination","Rare","Normal Spell","Reprint"
"MP22-EN153","Majestic Absorption","Common","Normal Spell","Reprint"
"MP22-EN154","Despia, Theater of the Branded","Rare","Field Spell","Reprint"
"MP22-EN155","Branded Opening","Prismatic Secret Rare","Quick-Play Spell","Reprint"
"MP22-EN156","Branded Bond","Ultra Rare","Normal Spell","Reprint"
"MP22-EN157","Magikey Maftea","Common","Normal Spell","Reprint"
"MP22-EN158","Magikey World","Rare","Field Spell","Reprint"
"MP22-EN159","Gunkan Sushipyard Seaside Supper Spot","Common","Field Spell","Reprint"
"MP22-EN160","Sacred Scrolls of the Gizmek Legend","Rare","Field Spell","Reprint"
"MP22-EN161","Live?Twin Sunny's Snitch","Common","Continuous Spell","Reprint"
"MP22-EN162","High Ritual Art","Super Rare","Ritual Spell","Reprint"
"MP22-EN163","Ready Fusion","Prismatic Secret Rare","Normal Spell","Reprint"
"MP22-EN164","Synchro Overtake","Ultra Rare","Normal Spell","Reprint"
"MP22-EN165","Pendulum Treasure","Rare","Normal Spell","Reprint"
"MP22-EN166","Majestic Mirage","Rare","Continuous Trap","Reprint"
"MP22-EN167","Magikey Duo","Common","Normal Trap","Reprint"
"MP22-EN168","Magikey Unlocking","Common","Counter Trap","Reprint"
"MP22-EN169","Gunkan Suship Daily Special","Common","Normal Trap","Reprint"
"MP22-EN170","Monster Assortment","Rare","Normal Trap","Reprint"
"MP22-EN171","Beast King Unleashed","Super Rare","Continuous Trap","Reprint"
"MP22-EN172","Baby Mudragon","Ultra Rare","Effect Tuner monster","Reprint"
"MP22-EN173","Pazuzule","Common","Effect Pendulum Monster","Reprint"
"MP22-EN174","Beetrooper Scale Bomber","Common","Effect Monster","Reprint"
"MP22-EN175","Beetrooper Sting Lancer","Common","Effect Monster","Reprint"
"MP22-EN176","Beetrooper Armor Horn","Common","Effect Link Monster","Reprint"
"MP22-EN177","Giant Beetrooper Invincible Atlas","Common","Effect Link Monster","Reprint"
"MP22-EN178","Beetrooper Formation","Common","Field Spell","Reprint"
"MP22-EN179","Beetrooper Fly & Sting","Common","Counter Trap","Reprint"
"MP22-EN180","Link Apple","Common","Effect Monster","Reprint"
"MP22-EN181","Flying Red Carp","Common","Effect Monster","Reprint"
"MP22-EN182","Dinowrestler Iguanodraka","Common","Effect Monster","Reprint"
"MP22-EN183","Shinobi Insect Hagakuremino","Common","Effect Link Monster","Reprint"
"MP22-EN184","Trickstar Festival","Common","Normal Spell","Reprint"
"MP22-EN185","Gouki Finishing Move","Super Rare","Normal Spell","Reprint"
"MP22-EN186","Heritage of the Light","Ultra Rare","Continuous Spell","Reprint"
"MP22-EN187","Rokket Caliber","Common","Effect Tuner monster","Reprint"
"MP22-EN188","Incredible Ecclesia, the Virtuous","Prismatic Secret Rare","Effect Tuner monster","Reprint"
"MP22-EN189","Icejade Acti","Common","Effect Monster","Reprint"
"MP22-EN190","Icejade Tinola","Common","Effect Monster","Reprint"
"MP22-EN191","Icejade Tremora","Super Rare","Effect Monster","Reprint"
"MP22-EN192","Ad Libitum of Despia","Common","Effect Monster","Reprint"
"MP22-EN193","Floowandereeze & Snowl","Rare","Effect Monster","Reprint"
"MP22-EN194","Floowandereeze & Robina","Rare","Effect Monster","Reprint"
"MP22-EN195","Floowandereeze & Eglen","Rare","Effect Monster","Reprint"
"MP22-EN196","Floowandereeze & Stri","Super Rare","Effect Monster","Reprint"
"MP22-EN197","Floowandereeze & Toccan","Ultra Rare","Effect Monster","Reprint"
"MP22-EN198","Floowandereeze & Empen","Super Rare","Effect Monster","Reprint"
"MP22-EN199","Destiny HERO - Denier","Common","Effect Monster","Reprint"
"MP22-EN200","Maginificent Magikey Mafteal","Common","Effect Tuner monster","Reprint"
"MP22-EN201","Gunkan Suship Uni","Common","Effect Monster","Reprint"
"MP22-EN202","Gunkan Suship Shirauo","Common","Effect Monster","Reprint"
"MP22-EN203","Machina Ruinforce","Super Rare","Effect Monster","Reprint"
"MP22-EN204","Mimicking Man-Eater Bug","Ultra Rare","Flip monster","Reprint"
"MP22-EN205","Lord of the Heavenly Prison","Prismatic Secret Rare","Effect Monster","Reprint"
"MP22-EN206","Undaunted Bumpkin Beast","Common","Effect Monster","Reprint"
"MP22-EN207","Meowseclick","Common","Effect Monster","Reprint"
"MP22-EN208","Masquerade the Blazing Dragon","Super Rare","Effect Fusion Monster","Reprint"
"MP22-EN209","Destiny HERO - Destroyer Phoenix Enforcer","Prismatic Secret Rare","Effect Fusion Monster","Reprint"
"MP22-EN210","Ultimate Flagship Ursatron","Rare","Effect Fusion Monster","Reprint"
"MP22-EN211","Magikey Fiend - Transfurlmine","Rare","Effect Synchro Monster","Reprint"
"MP22-EN212","Zoroa, the Magistus Conflagrant Calamity","Common","Effect Synchro Monster","Reprint"
"MP22-EN213","Magikey Spirit - Vepartu","Rare","Effect Xyz Monster","Reprint"
"MP22-EN214","Gunkan Suship Uni-class Super-Dreadnought","Common","Effect Xyz Monster","Reprint"
"MP22-EN215","Gunkan Suship Shirauo-class Carrier","Common","Effect Xyz Monster","Reprint"
"MP22-EN216","Evil?Twin's Trouble Sunny","Prismatic Secret Rare","Effect Link Monster","Reprint"
"MP22-EN217","Branded in High Spirits","Common","Quick-Play Spell","Reprint"
"MP22-EN218","Icejade Cradle","Common","Normal Spell","Reprint"
"MP22-EN219","Branded in Red","Rare","Quick-Play Spell","Reprint"
"MP22-EN220","Floowandereeze and the Magnificent Map","Prismatic Secret Rare","Field Spell","Reprint"
"MP22-EN221","Floowandereeze and the Unexplored Winds","Rare","Continuous Spell","Reprint"
"MP22-EN222","Magikey Battle","Common","Quick-Play Spell","Reprint"
"MP22-EN223","Sunvine Sowing","Common","Normal Spell","Reprint"
"MP22-EN224","Supernatural Danger Zone","Common","Continuous Spell","Reprint"
"MP22-EN225","Small World","Prismatic Secret Rare","Normal Spell","Reprint"
"MP22-EN226","Magical Cylinders","Super Rare","Normal Trap","Reprint"
"MP22-EN227","Floowandereeze and the Dreaming Town","Common","Normal Trap","Reprint"
"MP22-EN228","Floowandereeze and the Scary Sea","Common","Counter Trap","Reprint"
"MP22-EN229","Magikey Locking","Common","Normal Trap","Reprint"
"MP22-EN230","Stained Glass of Light & Dark","Rare","Normal Trap","Reprint"
"MP22-EN231","Laundry Trap","Rare","Continuous Trap","Reprint"
"MP22-EN232","Night Sword Serpent","Common","Effect Monster","Reprint"
"MP22-EN233","D.D. Assault Carrier","Ultra Rare","Effect Monster","Reprint"
"MP22-EN234","Abyss Keeper","Ultra Rare","Effect Link Monster","Reprint"
"MP22-EN235","Apex Predation","Ultra Rare","Normal Trap","Reprint"
"MP22-EN236","Beetrooper Assault Roller","Common","Effect Monster","Reprint"
"MP22-EN237","Beetrooper Light Flapper","Common","Effect Monster","Reprint"
"MP22-EN238","Heavy Beetrooper Mighty Neptune","Common","Effect Monster","Reprint"
"MP22-EN239","Ultra Beetrooper Absolute Hercules","Common","Effect Fusion Monster","Reprint"
"MP22-EN240","Beetrooper Descent","Common","Normal Spell","Reprint"
"MP22-EN241","Beetrooper Landing","Common","Normal Spell","Reprint"
"MP22-EN242","Beetrooper Squad","Common","Normal Trap","Reprint"
"MP22-EN243","Flip Frozen","Common","Effect Monster","Reprint"
"MP22-EN244","Bravedrive","Common","Effect Monster","Reprint"
"MP22-EN245","Rebuildeer","Ultra Rare","Effect Monster","Reprint"
"MP22-EN246","Threshold Borg","Ultra Rare","Effect Monster","Reprint"
"MP22-EN247","Cynet Crosswipe","Common","Quick-Play Spell","Reprint"
"MP22-EN248","Danger! Disturbance! Disorder!","Ultra Rare","Field Spell","Reprint"
"MP22-EN249","Cynet Cascade","Common","Normal Trap","Reprint"
"MP22-EN250","Contract with the Abyss","Ultra Rare","Ritual Spell","Reprint"
"MP22-EN251","Earth Chant","Ultra Rare","Ritual Spell","Reprint"
"MP22-EN252","Sprite's Blessing","Ultra Rare","Ritual Spell","Reprint"
"MP22-EN253","Lightning Storm","Prismatic Secret Rare","Normal Spell","Reprint"
"MP22-EN254","Forbidden Droplet","Prismatic Secret Rare","Quick-Play Spell","Reprint"
"MP22-EN255","Ghost Ogre & Snow Rabbit","Prismatic Secret Rare","Effect Tuner monster","Reprint"
"MP22-EN256","Ghost Reaper & Winter Cherries","Super Rare","Effect Tuner monster","Reprint"
"MP22-EN257","Ash Blossom & Joyous Spring","Prismatic Secret Rare","Effect Tuner monster","Reprint"
"MP22-EN258","Ghost Belle & Haunted Mansion","Prismatic Secret Rare","Effect Tuner monster","Reprint"
"MP22-EN259","Ghost Sister & Spooky Dogwood","Super Rare","Effect Tuner monster","Reprint"
"MP22-EN260","Ghost Mourner & Moonlit Chill","Super Rare","Effect Tuner monster","Reprint"
"MP22-EN261","Nibiru, the Primal Being","Ultra Rare","Effect Monster","Reprint"
"MP22-EN262","Dark Ruler No More","Ultra Rare","Normal Spell","Reprint"
"MP22-EN263","Dimension Shifter","Ultra Rare","Effect Monster","Reprint"
"MP22-EN264","Red-Eyes Dark Dragoon","Prismatic Secret Rare","Effect Fusion Monster","Reprint"
"MP22-EN265","Crossout Designator","Prismatic Secret Rare","Quick-Play Spell","Reprint"
"MP22-EN266","Blue-Eyes White Dragon","Prismatic Secret Rare","Normal Monster","New artwork"
"MP22-EN267","Red-Eyes Black Dragon","Prismatic Secret Rare","Normal Monster","New artwork"
"MP22-EN268","Dark Magician Girl","Prismatic Secret Rare","Effect Monster","New artwork"
"MP22-EN269","Duel Tower","Prismatic Secret Rare","Field Spell","New"
"MP22-EN270","Rainbow Bridge of Salvation","Prismatic Secret Rare","Normal Trap","New"
"MP22-EN271","Link into the VRAINS!","Prismatic Secret Rare","Normal Spell","New"
"MP22-EN272","Soul Energy MAX!!!","Ultra Rare","Normal Trap","New"
"MP22-EN273","The Revived Sky God","Ultra Rare","Normal Trap","New"
"MP22-EN274","The Breaking Ruin God","Ultra Rare","Quick-Play Spell","New"
"MP22-EN275","The True Sun God","Ultra Rare","Continuous Spell","New"
