"Card number","Name","Rarity","Category","Print","Quantity"
"SGX1-ENS14","Rainbow Crystal Collection","Common","Skill Card","New",1
"SGX1-ENS15","Cyberdark Style","Common","Skill Card","New",1
"SGX1-ENS16","Volcanic Cannon","Common","Skill Card","New",1
"SGX1-ENS17","Energizing Elements","Common","Skill Card","New",1
"SGX1-ENS18","Room for Growth","Common","Skill Card","New",1
"SGX1-ENS19","I've Got Dino DNA!","Common","Skill Card","New",1
"SGX1-ENS20","Consumed By Darkness","Common","Skill Card","New",1
"SGX1-ENA01","Elemental HERO Avian","Common","Normal Monster","Speed Duel debut",1
"SGX1-ENA02","Elemental HERO Burstinatrix","Common","Normal Monster","Speed Duel debut",1
"SGX1-ENA03","Elemental HERO Clayman","Common","Normal Monster","Speed Duel debut",1
"SGX1-ENA04","Elemental HERO Sparkman","Common","Normal Monster","Speed Duel debut",1
"SGX1-ENA05","Goddess with the Third Eye","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENA06","Winged Kuriboh","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENA07","Wroughtweiler","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENA08","Elemental HERO Bubbleman","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENA09","Elemental HERO Bladedge","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENA10","Elemental HERO Wildheart","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENA11","Elemental HERO Necroshade","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENA12","Polymerization","Common","Normal Spell","Reprint",1
"SGX1-ENA13","Fusion Sage","Common","Normal Spell","Speed Duel debut",1
"SGX1-ENA14","Reinforcement of the Army","Common","Normal Spell","Reprint",1
"SGX1-ENA15","Skyscraper","Common","Field Spell","Speed Duel debut",1
"SGX1-ENA16","Fusion Recovery","Common","Normal Spell","Reprint",1
"SGX1-ENA17","R - Righteous Justice","Common","Normal Spell","Speed Duel debut",1
"SGX1-ENA18","Negate Attack","Common","Counter Trap","Reprint",1
"SGX1-ENA19","A Hero Emerges","Common","Normal Trap","Speed Duel debut",1
"SGX1-ENA20","Hero Signal","Common","Normal Trap","Speed Duel debut",1
"SGX1-ENA21","Elemental HERO Flame Wingman","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX1-ENA22","Elemental HERO Thunder Giant","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX1-ENA23","Elemental HERO Rampart Blaster","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX1-ENA24","Elemental HERO Steam Healer","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX1-ENA25","Elemental HERO Darkbright","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX1-ENA26","Elemental HERO Plasma Vice","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX1-ENB01","Destiny HERO - Plasma","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENB02","Destiny HERO - Doom Lord","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENB03","Destiny HERO - Diamond Dude","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENB04","Destiny HERO - Blade Master","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENB05","Destiny HERO - Dasher","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENB06","Destiny HERO - Fear Monger","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENB07","Destiny HERO - Dogma","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENB08","Destiny HERO - Malicious","Common","Effect Monster","Speed Duel debut",2
"SGX1-ENB09","Destiny HERO - Dark Angel","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENB10","Polymerization","Common","Normal Spell","Reprint",1
"SGX1-ENB11","Reinforcement of the Army","Common","Normal Spell","Reprint",1
"SGX1-ENB12","Fusion Sword Murasame Blade","Common","Equip Spell","Speed Duel debut",1
"SGX1-ENB13","Dark City","Common","Field Spell","Speed Duel debut",1
"SGX1-ENB14","D - Spirit","Common","Normal Spell","Speed Duel debut",1
"SGX1-ENB15","Over Destiny","Common","Normal Spell","Speed Duel debut",1
"SGX1-ENB16","Night Beam","Common","Normal Spell","Reprint",1
"SGX1-ENB17","Destiny Signal","Common","Normal Trap","Speed Duel debut",1
"SGX1-ENB18","D - Chain","Common","Normal Trap","Speed Duel debut",1
"SGX1-ENB19","D - Counter","Common","Normal Trap","Speed Duel debut",1
"SGX1-ENB20","Destiny End Dragoon","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX1-ENB21","Destiny HERO - Dangerous","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX1-ENC01","Ojama Yellow","Common","Normal Monster","Speed Duel debut",1
"SGX1-ENC02","Ojama Green","Common","Normal Monster","Speed Duel debut",1
"SGX1-ENC03","Ojama Black","Common","Normal Monster","Speed Duel debut",1
"SGX1-ENC04","V-Tiger Jet","Common","Normal Monster","Speed Duel debut",1
"SGX1-ENC05","Chiron the Mage","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENC06","Armed Dragon LV3","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENC07","Armed Dragon LV5","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENC08","Armed Dragon LV7","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENC09","W-Wing Catapult","Common","Union monster","Speed Duel debut",1
"SGX1-ENC10","Ojama Red","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENC11","Ojama Blue","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENC12","Polymerization","Common","Normal Spell","Reprint",1
"SGX1-ENC13","Ojama Delta Hurricane!!","Common","Normal Spell","Speed Duel debut",1
"SGX1-ENC14","Ojamagic","Common","Normal Spell","Speed Duel debut",1
"SGX1-ENC15","Tri-Wight","Common","Normal Spell","Speed Duel debut",1
"SGX1-ENC16","Ojamatch","Common","Quick-Play Spell","Speed Duel debut",1
"SGX1-ENC17","The Grave of Enkindling","Common","Normal Trap","Speed Duel debut",1
"SGX1-ENC18","Super Rush Recklessly","Common","Normal Trap","Speed Duel debut",1
"SGX1-ENC19","Spikeshield with Chain","Common","Normal Trap","Speed Duel debut",1
"SGX1-ENC20","Wall of Disruption","Common","Normal Trap","Speed Duel debut",1
"SGX1-ENC21","Ojama King","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX1-ENC22","VW-Tiger Catapult","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX1-ENC23","Ojama Knight","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX1-END01","Ancient Gear Golem","Common","Effect Monster","Speed Duel debut",1
"SGX1-END02","Mechanicalchaser","Common","Normal Monster","Speed Duel debut",1
"SGX1-END03","Giant Rat","Common","Effect Monster","Reprint",1
"SGX1-END04","The Trojan Horse","Common","Effect Monster","Speed Duel debut",1
"SGX1-END05","Dekoichi the Battlechanted Locomotive","Common","Flip monster","Reprint",1
"SGX1-END06","Ancient Gear Beast","Common","Effect Monster","Speed Duel debut",1
"SGX1-END07","Ancient Gear Soldier","Common","Effect Monster","Speed Duel debut",1
"SGX1-END08","Ancient Gear","Common","Effect Monster","Speed Duel debut",1
"SGX1-END09","Ancient Gear Engineer","Common","Effect Monster","Speed Duel debut",1
"SGX1-END10","Ancient Gear Knight","Common","Gemini monster","Speed Duel debut",1
"SGX1-END11","Ancient Gear Gadget","Common","Effect Monster","Speed Duel debut",1
"SGX1-END12","Earthquake","Common","Normal Spell","Speed Duel debut",1
"SGX1-END13","Ancient Gear Castle","Common","Continuous Spell","Speed Duel debut",1
"SGX1-END14","Geartown","Common","Field Spell","Speed Duel debut",1
"SGX1-END15","Double Cyclone","Common","Quick-Play Spell","Reprint",1
"SGX1-END16","Card Advance","Common","Normal Spell","Reprint",1
"SGX1-END17","Metalmorph","Common","Normal Trap","Reprint",1
"SGX1-END18","Statue of the Wicked","Common","Normal Trap","Speed Duel debut",1
"SGX1-END19","Damage Condenser","Common","Normal Trap","Speed Duel debut",1
"SGX1-END20","Miniaturize","Common","Continuous Trap","Speed Duel debut",1
"SGX1-END21","Ultimate Ancient Gear Golem","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX1-ENE01","Blade Skater","Common","Normal Monster","Speed Duel debut",1
"SGX1-ENE02","Senju of the Thousand Hands","Common","Effect Monster","Reprint",1
"SGX1-ENE03","Sonic Bird","Common","Effect Monster","Reprint",1
"SGX1-ENE04","D.D. Warrior Lady","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENE05","Warrior Lady of the Wasteland","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENE06","Etoile Cyber","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENE07","Cyber Tutu","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENE08","Cyber Gymnast","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENE09","Cyber Prima","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENE10","Cyber Angel Benten","Common","Effect Ritual Monster","Speed Duel debut",1
"SGX1-ENE11","Cyber Angel Idaten","Common","Effect Ritual Monster","Speed Duel debut",1
"SGX1-ENE12","Cyber Angel Izana","Common","Effect Ritual Monster","Speed Duel debut",1
"SGX1-ENE13","The Warrior Returning Alive","Common","Normal Spell","Reprint",1
"SGX1-ENE14","Ritual Weapon","Common","Equip Spell","Speed Duel debut",1
"SGX1-ENE15","Machine Angel Ritual","Common","Ritual Spell","Speed Duel debut",1
"SGX1-ENE16","Berserk Scales","Common","Quick-Play Spell","Speed Duel debut",1
"SGX1-ENE17","Cosmic Cyclone","Common","Quick-Play Spell","Reprint",1
"SGX1-ENE18","Hallowed Life Barrier","Common","Normal Trap","Speed Duel debut",1
"SGX1-ENE19","Doble Passe","Common","Normal Trap","Speed Duel debut",1
"SGX1-ENE20","Jar of Avarice","Common","Normal Trap","Reprint",1
"SGX1-ENE21","Cyber Blader","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX1-ENF01","Rainbow Dragon","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENF02","Crystal Beast Amethyst Cat","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENF03","Crystal Beast Amber Mammoth","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENF04","Crystal Beast Ruby Carbuncle","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENF05","Crystal Beast Emerald Tortoise","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENF06","Crystal Beast Topaz Tiger","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENF07","Crystal Beast Cobalt Eagle","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENF08","Crystal Beast Sapphire Pegasus","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENF09","Crystal Seer","Common","Flip monster","Reprint",1
"SGX1-ENF10","Ancient City - Rainbow Ruins","Common","Field Spell","Speed Duel debut",1
"SGX1-ENF11","Rare Value","Common","Normal Spell","Speed Duel debut",1
"SGX1-ENF12","Crystal Blessing","Common","Normal Spell","Speed Duel debut",1
"SGX1-ENF13","Crystal Promise","Common","Normal Spell","Speed Duel debut",1
"SGX1-ENF14","Crystal Release","Common","Equip Spell","Speed Duel debut",1
"SGX1-ENF15","Crystal Tree","Common","Continuous Spell","Speed Duel debut",1
"SGX1-ENF16","Crystal Raigeki","Common","Normal Trap","Speed Duel debut",1
"SGX1-ENF17","Rainbow Life","Common","Normal Trap","Speed Duel debut",1
"SGX1-ENF18","Rainbow Gravity","Common","Normal Trap","Speed Duel debut",1
"SGX1-ENF19","Gravelstorm","Common","Normal Trap","Speed Duel debut",1
"SGX1-ENF20","Crystal Conclave","Common","Continuous Trap","Speed Duel debut",1
"SGX1-ENF21","Rainbow Overdragon","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX1-ENG01","Cyber Dragon","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENG02","Hunter Dragon","Common","Normal Monster","Speed Duel debut",1
"SGX1-ENG03","Proto-Cyber Dragon","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENG04","Cyber Phoenix","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENG05","Cyberdark Horn","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENG06","Cyberdark Edge","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENG07","Cyberdark Keel","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENG08","Exploder Dragon","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENG09","Cyber Valley","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENG10","Cyberdark Claw","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENG11","Polymerization","Common","Normal Spell","Reprint",1
"SGX1-ENG12","Different Dimension Capsule","Common","Normal Spell","Speed Duel debut",1
"SGX1-ENG13","Future Fusion","Common","Continuous Spell","Speed Duel debut",1
"SGX1-ENG14","Overload Fusion","Common","Normal Spell","Speed Duel debut",1
"SGX1-ENG15","Cyberdark Impact!","Common","Normal Spell","Speed Duel debut",1
"SGX1-ENG16","Trap Jammer","Common","Counter Trap","Reprint",1
"SGX1-ENG17","Cyber Shadow Gardna","Common","Continuous Trap","Speed Duel debut",1
"SGX1-ENG18","Straight Flush","Common","Normal Trap","Speed Duel debut",1
"SGX1-ENG19","Memory Loss","Common","Normal Trap","Speed Duel debut",1
"SGX1-ENG20","Cyber Network","Common","Continuous Trap","Speed Duel debut",1
"SGX1-ENG21","Cyber End Dragon","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX1-ENG22","Chimeratech Overdragon","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX1-ENG23","Cyberdark Dragon","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX1-ENH01","Volcanic Doomfire","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENH02","Blazing Inpachi","Common","Normal Monster","Speed Duel debut",1
"SGX1-ENH03","Charcoal Inpachi","Common","Normal Monster","Speed Duel debut",1
"SGX1-ENH04","UFO Turtle","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENH05","Spirit of Flames","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENH06","Raging Flame Sprite","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENH07","Volcanic Shell","Common","Effect Monster","Speed Duel debut",2
"SGX1-ENH08","Volcanic Blaster","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENH09","Volcanic Hammerer","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENH10","Volcanic Rocket","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENH11","Royal Firestorm Guards","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENH12","Salamandra","Common","Equip Spell","Speed Duel debut",1
"SGX1-ENH13","Twister","Common","Quick-Play Spell","Reprint",1
"SGX1-ENH14","Blaze Accelerator","Common","Continuous Spell","Speed Duel debut",1
"SGX1-ENH15","Tri-Blaze Accelerator","Common","Continuous Spell","Speed Duel debut",1
"SGX1-ENH16","Wild Fire","Common","Quick-Play Spell","Speed Duel debut",1
"SGX1-ENH17","Michizure","Common","Normal Trap","Reprint",1
"SGX1-ENH18","Covering Fire","Common","Normal Trap","Speed Duel debut",1
"SGX1-ENH19","Firewall","Common","Continuous Trap","Speed Duel debut",1
"SGX1-ENI01","Hourglass of Life","Common","Normal Monster","New",1
"SGX1-ENI02","Big Koala","Common","Normal Monster","Speed Duel debut",1
"SGX1-ENI03","Mokey Mokey","Common","Normal Monster","Speed Duel debut",1
"SGX1-ENI04","Don Zaloog","Common","Effect Monster","Reprint",1
"SGX1-ENI05","Apprentice Magician","Common","Effect Monster","Reprint",1
"SGX1-ENI06","Des Kangaroo","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENI07","Gyroid","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENI08","Hydrogeddon","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENI09","Rainbow Dark Dragon","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENI10","Black Brachios","Common","Effect Monster","Speed Duel debut",1
"SGX1-ENI11","Toon Ancient Gear Golem","Common","Toon monster","Speed Duel debut",1
"SGX1-ENI12","Sphere Kuriboh","Common","Effect Monster","Reprint",1
"SGX1-ENI13","Master of Oz","Common","Fusion Monster","Speed Duel debut",1
"SGX1-ENI14","VWXYZ-Dragon Catapult Cannon","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX1-ENI15","Book of Moon","Common","Quick-Play Spell","Reprint",1
"SGX1-ENI16","Fusion Weapon","Common","Equip Spell","Speed Duel debut",1
"SGX1-ENI17","Mokey Mokey Smackdown","Common","Continuous Spell","Speed Duel debut",1
"SGX1-ENI18","Crystal Beacon","Common","Normal Spell","Speed Duel debut",1
"SGX1-ENI19","Ojama Country","Common","Field Spell","Speed Duel debut",1
"SGX1-ENI20","Advanced Dark","Common","Field Spell","Speed Duel debut",1
"SGX1-ENI21","Rising Energy","Common","Normal Trap","Speed Duel debut",1
"SGX1-ENI22","Justi-Break","Common","Normal Trap","Speed Duel debut",1
"SGX1-ENI23","Floodgate Trap Hole","Common","Normal Trap","Reprint",1
