"Card number","Name","Rarity","Set Name"
"HAC1-EN046"," General Raiho of the Ice Barrier","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN046"," General Raiho of the Ice Barrier","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN047"," Strategist of the Ice Barrier","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN047"," Strategist of the Ice Barrier","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN048"," Secret Guards of the Ice Barrier","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN048"," Secret Guards of the Ice Barrier","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN049"," General Gantala of the Ice Barrier","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN049"," General Gantala of the Ice Barrier","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN050"," Dance Princess of the Ice Barrier","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN050"," Dance Princess of the Ice Barrier","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN051"," Brionac, Dragon of the Ice Barrier","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN052"," Dewloren, Tiger King of the Ice Barrier","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN053"," Gungnir, Dragon of the Ice Barrier","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN054"," Trishula, Dragon of the Ice Barrier","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN055"," Medallion of the Ice Barrier","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN055"," Medallion of the Ice Barrier","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN056"," Mist Valley Thunderbird","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN056"," Mist Valley Thunderbird","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN057"," Mist Valley Shaman","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN057"," Mist Valley Shaman","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN058"," Mist Valley Soldier","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN058"," Mist Valley Soldier","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN059"," Mist Valley Baby Roc","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN059"," Mist Valley Baby Roc","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN060"," Mist Valley Executor","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN060"," Mist Valley Executor","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN061"," Mist Valley Falcon","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN061"," Mist Valley Falcon","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN062"," Mist Valley Apex Avian","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN063"," Mist Valley Thunder Lord","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN063"," Mist Valley Thunder Lord","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN064"," Flamvell Guard","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN064"," Flamvell Guard","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN065"," Flamvell Dragnov","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN065"," Flamvell Dragnov","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN066"," Flamvell Magician","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN066"," Flamvell Magician","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN067"," Flamvell Grunika","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN067"," Flamvell Grunika","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN068"," Flamvell Baby","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN068"," Flamvell Baby","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN069"," Neo Flamvell Origin","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN069"," Neo Flamvell Origin","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN070"," Neo Flamvell Hedgehog","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN070"," Neo Flamvell Hedgehog","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN071"," Neo Flamvell Shaman","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN071"," Neo Flamvell Shaman","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN072"," Neo Flamvell Garuda","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN072"," Neo Flamvell Garuda","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN073"," Neo Flamvell Sabre","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN073"," Neo Flamvell Sabre","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN074"," Flamvell Uruquizas","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN074"," Flamvell Uruquizas","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN075"," Ancient Flamvell Deity","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN075"," Ancient Flamvell Deity","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN076"," Ally of Justice Clausolas","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN076"," Ally of Justice Clausolas","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN077"," Ally Mind","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN077"," Ally Mind","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN078"," Ally of Justice Garadholg","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN078"," Ally of Justice Garadholg","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN079"," Ally of Justice Rudra","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN079"," Ally of Justice Rudra","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN080"," Ally of Justice Nullfier","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN080"," Ally of Justice Nullfier","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN081"," Ally of Justice Searcher","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN081"," Ally of Justice Searcher","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN082"," Ally of Justice Enemy Catcher","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN082"," Ally of Justice Enemy Catcher","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN083"," Ally of Justice Thunder Armor","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN083"," Ally of Justice Thunder Armor","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN084"," Ally of Justice Cosmic Gateway","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN084"," Ally of Justice Cosmic Gateway","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN085"," Ally of Justice Reverse Break","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN085"," Ally of Justice Reverse Break","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN086"," Ally of Justice Unlimiter","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN086"," Ally of Justice Unlimiter","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN087"," Ally of Justice Omni-Weapon","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN087"," Ally of Justice Omni-Weapon","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN088"," Ally of Justice Quarantine","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN088"," Ally of Justice Quarantine","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN089"," Ally of Justice Cycle Reader","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN089"," Ally of Justice Cycle Reader","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN090"," Ally of Justice Catastor","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN090"," Ally of Justice Catastor","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN091"," Ally of Justice Field Marshal","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN091"," Ally of Justice Field Marshal","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN092"," Ally of Justice Decisive Armor","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN093"," Naturia Beetle","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN093"," Naturia Beetle","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN094"," Naturia Rock","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN094"," Naturia Rock","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN095"," Naturia Guardian","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN095"," Naturia Guardian","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN096"," Naturia Vein","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN096"," Naturia Vein","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN097"," Naturia Antjaw","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN097"," Naturia Antjaw","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN098"," Naturia Spiderfang","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN098"," Naturia Spiderfang","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN099"," Naturia Rosewhip","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN099"," Naturia Rosewhip","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN100"," Naturia Cosmobeet","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN100"," Naturia Cosmobeet","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN101"," Naturia Dragonfly","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN101"," Naturia Dragonfly","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN102"," Naturia Sunflower","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN102"," Naturia Sunflower","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN103"," Naturia Cliff","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN103"," Naturia Cliff","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN104"," Naturia Tulip","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN104"," Naturia Tulip","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN105"," Naturia Horneedle","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN105"," Naturia Horneedle","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN106"," Naturia Fruitfly","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN106"," Naturia Fruitfly","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN107"," Naturia Hydrangea","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN107"," Naturia Hydrangea","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN108"," Naturia Butterfly","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN108"," Naturia Butterfly","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN109"," Naturia Ladybug","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN109"," Naturia Ladybug","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN110"," Naturia Strawberry","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN110"," Naturia Strawberry","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN111"," Naturia Bamboo Shoot","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN112"," Naturia Stinkbug","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN112"," Naturia Stinkbug","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN113"," Naturia Mantis","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN113"," Naturia Mantis","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN114"," Naturia Ragweed","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN114"," Naturia Ragweed","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN115"," Naturia White Oak","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN115"," Naturia White Oak","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN116"," Naturia Cherries","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN117"," Naturia Pumpkin","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN117"," Naturia Pumpkin","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN118"," Naturia Pineapple","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN118"," Naturia Pineapple","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN119"," Naturia Exterio","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN120"," Naturia Beast","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN121"," Naturia Leodrake","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN121"," Naturia Leodrake","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN122"," Naturia Barkion","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN123"," Naturia Landoise","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN123"," Naturia Landoise","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN124"," Fabled Lurrie","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN124"," Fabled Lurrie","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN125"," Fabled Grimro","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN126"," Fabled Gallabas","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN126"," Fabled Gallabas","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN127"," Fabled Kushano","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN127"," Fabled Kushano","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN128"," Fabled Urustos","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN128"," Fabled Urustos","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN129"," Fabled Krus","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN129"," Fabled Krus","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN130"," Fabled Topi","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN130"," Fabled Topi","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN131"," Fabled Soulkius","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN131"," Fabled Soulkius","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN132"," Fabled Miztoji","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN132"," Fabled Miztoji","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN133"," Fabled Dyf","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN133"," Fabled Dyf","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN134"," Fabled Ashenveil","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN134"," Fabled Ashenveil","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN135"," Fabled Oltro","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN135"," Fabled Oltro","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN136"," The Fabled Chawa","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN136"," The Fabled Chawa","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN137"," The Fabled Catsith","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN137"," The Fabled Catsith","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN138"," The Fabled Cerburrel","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN138"," The Fabled Cerburrel","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN139"," The Fabled Ganashia","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN139"," The Fabled Ganashia","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN140"," The Fabled Nozoochee","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN140"," The Fabled Nozoochee","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN141"," The Fabled Peggulsus","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN141"," The Fabled Peggulsus","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN142"," The Fabled Kokkator","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN142"," The Fabled Kokkator","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN143"," Fabled Dianaira","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN143"," Fabled Dianaira","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN144"," Fabled Valkyrus","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN144"," Fabled Valkyrus","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN145"," Fabled Leviathan","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN145"," Fabled Leviathan","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN146"," Fabled Ragin","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN147"," The Fabled Unicore","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN147"," The Fabled Unicore","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN148"," The Fabled Kudabbi","Common","Hidden Arsenal: Chapter 1"
